"","서울","부산","대구","인천","광주","대전","울산","수원","청주","제주","전주"
"..1269",1710,1753.33333333333,1860,1865,1760,1866.66666666667,1730,1730,1770,1770,1625
"..1270",1600,1553.33333333333,1840,1735,1760,1800,1730,1730,1670,1770,1625
"..1271",1600,1603.33333333333,1840,1735,1760,1800,1480,1650,1670,1770,1625
"..1272",1578.57142857143,1803.33333333333,1753.33333333333,1735,1710,1800,1580,1650,1620,1640,1625
"..1273",1604.28571428571,1803.33333333333,1803.33333333333,1735,1760,1800,1580,1650,1590,1640,1625
"..1274",1625.71428571429,1770,1803.33333333333,1735,1760,1800,1580,1650,1590,1640,1625
"..1275",1530,1686.66666666667,1596.66666666667,1745,1553.33333333333,1710,1480,1650,1640,1900,1440
"..1276",1515.71428571429,1686.66666666667,1580,1695,1553.33333333333,1710,1480,1665,1640,1380,1440
"..1277",1515.71428571429,1720,1580,1695,1553.33333333333,1710,1480,1665,1640,1380,1440
"..1278",1515.71428571429,1686.66666666667,1580,1695,1553.33333333333,1710,1480,1665,1685,1380,1440
"..1279",1515.71428571429,1686.66666666667,1580,1695,1553.33333333333,1710,1480,1665,1685,1380,1440
"..1280",1522.85714285714,1506.66666666667,1786.66666666667,1460,1770,1553.33333333333,1730,1665,1685,2040,1625
"..1281",1522.85714285714,1570,1786.66666666667,1460,1770,1676.66666666667,1730,1665,1685,2040,1625
"..1282",1537.14285714286,1636.66666666667,1786.66666666667,1460,1770,1676.66666666667,1730,1665,1685,2040,1625
"..1283",1537.14285714286,1636.66666666667,1786.66666666667,1460,1770,1676.66666666667,1730,1665,1685,2040,1625
"..1284",1551.42857142857,1636.66666666667,1786.66666666667,1460,1770,1676.66666666667,1730,1665,1685,2040,1625
"..1285",1608.57142857143,1770,1786.66666666667,1660,1793.33333333333,1816.66666666667,1730,1665,1685,2040,1625
"..1286",1608.57142857143,1736.66666666667,1786.66666666667,1660,1793.33333333333,1750,1730,1665,1685,2040,1625
"..1287",1611.42857142857,1570,1786.66666666667,1660,1760,1750,1730,1665,1685,2040,1625
"..1288",1611.42857142857,1770,1786.66666666667,1660,1760,1750,1730,1665,1685,2040,1625
"..1289",1540,1770,1786.66666666667,1420,1760,1393.33333333333,1730,1665,1685,2040,1340
"..1290",1394.28571428571,1553.33333333333,1546.66666666667,1420,1520,1393.33333333333,1580,1665,1535,1180,1340
"..1291",1394.28571428571,1820,1646.66666666667,1375,1620,1393.33333333333,1880,1665,1485,1180,1340
"..1292",1394.28571428571,1820,1646.66666666667,1375,1620,1393.33333333333,1880,1665,1485,1180,1340
"..1293",1394.28571428571,1820,1646.66666666667,1375,1620,1393.33333333333,1880,1680,1485,1180,1340
"..1294",1587.14285714286,1686.66666666667,1846.66666666667,1615,1810,1743.33333333333,1880,1650,1440,2070,1625
"..1295",1587.14285714286,1686.66666666667,1846.66666666667,1615,1776.66666666667,1743.33333333333,1880,1650,1440,2070,1625
"..1296",1630,1770,1786.66666666667,1615,1726.66666666667,1676.66666666667,1750,1650,1740,2070,1625
"..1297",1630,1770,1786.66666666667,1615,1726.66666666667,1676.66666666667,1750,1650,1740,2070,1625
"..1298",1630,1770,1786.66666666667,1615,1726.66666666667,1676.66666666667,1750,1650,1690,2070,1625
"..1299",1485.71428571429,1383.33333333333,1600,1465,1540,1643.33333333333,1170,1650,1690,2070,1625
"..1300",1485.71428571429,1383.33333333333,1600,1465,1540,1643.33333333333,1170,1650,1650,2070,1625
"..1301",1587.14285714286,1703.33333333333,1786.66666666667,1465,1776.66666666667,1643.33333333333,1730,1650,1650,1880,1625
"..1302",1565.71428571429,1753.33333333333,1786.66666666667,1465,1776.66666666667,1643.33333333333,1730,1650,1650,1880,1625
"..1303",1637.14285714286,1820,1786.66666666667,1465,1776.66666666667,1643.33333333333,1730,1650,1650,1880,1625
"..1304",1701.42857142857,1820,1836.66666666667,1615,1776.66666666667,1743.33333333333,1880,1650,1650,2250,1625
